city_std,city_clean,n_extreme_events,total_affected_grids,total_reports,population_exposure_total,population_exposure_uncovered,road_exposure_total,road_exposure_uncovered,function_exposure_total,function_exposure_uncovered,population_outside_share,road_outside_share,function_outside_share
渭南,渭南市,2,19,42.0,1340.5332918167114,577.2342386245728,44.22835896410507,31.339862297157048,16078.0,6949.0,0.4306004499465254,0.7085920217521955,0.43220549819629306
湖州,湖州市,2,10,11.0,318.49416875839233,318.49416875839233,25.19069677822049,25.19069677822049,1784.0,1784.0,1.0,1.0,1.0
湛江,湛江市,1,6,9.0,1344.8488620519638,1344.8488620519638,11.584018169787225,11.584018169787225,6943.0,6943.0,1.0,1.0,1.0
滁州,滁州市,1,3,3.0,26.538891315460205,26.538891315460205,4.3161810014320885,4.3161810014320885,184.0,184.0,1.0,1.0,1.0
滨州,滨州市,2,22,33.0,507.96248042583466,473.2224806547165,13.134956970299209,12.130184536883677,8231.0,5140.0,0.931609122504491,0.9235039417572874,0.6244684728465557
漯河,漯河市,1,23,58.0,1388.0492660999298,1388.0492660999298,11.132603638630926,11.132603638630926,13830.0,13830.0,1.0,1.0,1.0
漳州,漳州市,2,13,25.0,770.6076896190643,770.6076896190643,45.43292544766851,45.43292544766851,12593.0,12593.0,1.0,1.0,1.0
潍坊,潍坊市,2,51,130.0,2866.00273501873,1661.257210612297,199.69496130519076,132.22069230365062,23478.0,16973.0,0.5796425768593833,0.6621133124214374,0.7229321066530369
濮阳,濮阳市,2,31,67.0,1147.7058465480804,879.0712506771088,68.04266432529752,55.656493837775756,15156.0,11872.0,0.7659377647339379,0.8179646460005429,0.7833201372393771
焦作,焦作市,2,10,13.0,331.1869410276413,268.5949705839157,27.383850069657573,16.80694771719636,3937.0,2595.0,0.8110071301437529,0.6137540073599491,0.6591313182626365
玉林,玉林市,2,20,48.0,1124.6090288162234,1033.874981880188,60.24750881018931,57.75054643318824,16859.0,15239.0,0.9193194749365092,0.9585549273934664,0.9039088913933211
珠海,珠海市,5,147,358.0,6601.678922772407,4096.54158437252,496.21651609019443,328.79616707975055,91642.0,53408.0,0.6205302669661127,0.6626062543633415,0.5827895506427184
盐城,盐城市,1,11,13.0,447.0152015686035,447.0152015686035,42.361092424299486,42.361092424299486,6940.0,6940.0,1.0,1.0,1.0
眉山,眉山市,2,38,91.0,1688.638137459755,1431.8905483484268,44.06605001712228,36.45634105886801,27357.0,21407.0,0.8479558269970394,0.8273112984872154,0.7825053916730635
石家庄,石家庄市,6,335,1334.0,27284.383772611618,18547.034024477005,832.3918029290767,500.8018846053634,194341.0,124809.0,0.6797673782574021,0.6016420186300583,0.6422165163295445
福州,福州市,5,242,1664.0,31552.053043752905,15800.443644672632,745.4861288339891,437.85700652771317,270748.0,132567.0,0.5007738679559876,0.58734427052662,0.4896324257242897
秦皇岛,秦皇岛市,3,36,138.0,1450.2753930091858,1020.9243965148926,119.94361067330411,56.525676288285815,21254.0,8852.0,0.7039520917448444,0.4712687568014555,0.41648630845958406
绍兴,绍兴市,1,1,1.0,9.118532180786133,9.118532180786133,0.0,0.0,64.0,64.0,1.0,,1.0
绵阳,绵阳市,5,139,421.0,8302.998801112175,5407.043508172035,212.82466018836985,107.87206933111166,82004.0,51546.0,0.6512157399622616,0.5068588820282138,0.6285790937027462
聊城,聊城市,2,17,43.0,844.1976857185364,765.9521760940552,22.998009148459595,18.997724691398787,9180.0,6064.0,0.9073137596226851,0.8260595327518275,0.6605664488017429
自贡,自贡市,3,19,41.0,1029.9131836891174,479.63217782974243,21.231762670524503,16.19342906196084,9613.0,7000.0,0.46570156147697295,0.7626982890328625,0.7281805887860189
舟山,舟山市,2,51,80.0,3295.803551197052,1887.2192122936249,58.7747466420635,40.72732259136374,30440.0,19184.0,0.5726127734792256,0.6929391433942191,0.6302233902759526
芜湖,芜湖市,2,32,55.0,1415.846132457256,970.985424220562,85.63050274287805,68.6840682835898,15594.0,13176.0,0.6857986909462959,0.8020981552546391,0.8449403616775683
苏州,苏州市,2,50,73.0,2874.9092683792114,2550.1952228546143,119.07421336853713,112.43915356244793,20352.0,19250.0,0.8870524196724785,0.9442779455065258,0.9458529874213837
茂名,茂名市,1,4,6.0,125.45862579345702,125.45862579345702,6.270173939625603,6.270173939625603,2275.0,2275.0,1.0,1.0,1.0
荆州,荆州市,1,38,410.0,2273.723208427429,2186.109769821167,77.52533796165277,73.13727382300111,25125.0,22288.0,0.9614669726369824,0.9433983229996086,0.8870845771144279
荆门,荆门市,1,6,9.0,238.297926902771,238.297926902771,3.382808147948027,3.382808147948027,4539.0,4539.0,1.0,1.0,1.0
莆田,莆田市,1,8,12.0,614.3310360908508,601.3296256065369,16.775126956451086,14.2438117949071,6952.0,6901.0,0.9788364746032606,0.849103069794024,0.9926639815880323
萍乡,萍乡市,2,16,29.0,1314.4655504226682,974.353798866272,43.10858819493627,20.57934062173272,13332.0,6895.0,0.7412547240610202,0.47738377625992545,0.5171767176717672
蚌埠,蚌埠市,2,28,49.0,1336.5941833257675,701.7353442907333,98.79598406695187,47.018314807165694,18871.0,8839.0,0.5250175057208817,0.4759132190565804,0.4683906523236712
衡阳,衡阳市,1,10,18.0,756.003490447998,492.0861854553223,42.12112455046689,32.839402239224455,15437.0,12742.0,0.6509046474953685,0.7796421057058518,0.8254194467837015
衢州,衢州市,2,19,44.0,543.2515478134155,501.11943340301514,37.46691417728182,32.331526625385806,13345.0,11452.0,0.922444557074928,0.8629354014158477,0.8581491195204196
襄阳,襄阳市,4,77,250.0,4950.227504611015,2342.801058650017,96.59579232193065,63.23500978697743,61412.0,23553.0,0.4732713913588325,0.6546352410074994,0.3835243926268482
西安,西安市,7,368,1635.0,35003.87896323204,25772.941682577133,1211.8926544114747,808.3171640818957,280477.0,199223.0,0.7362881613677429,0.6669874275906348,0.7103006663647999
许昌,许昌市,2,10,19.0,1129.7706022262573,613.0203580856323,4.557669900618057,4.557669900618057,7612.0,5827.0,0.5426060448711019,1.0,0.7655018392012611
贵阳,贵阳市,5,92,217.0,6742.721080303192,4577.621243715286,244.91962201801405,166.94045841465103,72284.0,43699.0,0.6788982058129934,0.6816132453543163,0.604545957611643
赣州,赣州市,3,17,32.0,1696.6992557048798,1696.6992557048798,32.45557888330945,32.45557888330945,13354.0,13354.0,1.0,1.0,1.0
达州,达州市,2,12,24.0,1149.788972377777,913.9187026023865,16.091262743743446,15.915561861524647,13262.0,10407.0,0.7948577735202937,0.9890809761162396,0.7847232694917811
连云港,连云港市,1,12,13.0,337.4805594608188,337.4805594608188,24.368066628800275,24.368066628800275,6366.0,6366.0,1.0,1.0,1.0
遂宁,遂宁市,2,26,82.0,2106.2028517723083,1596.2206854820251,32.36083474366629,24.991008209753986,26281.0,20908.0,0.7578665483900812,0.7722609261383551,0.7955557246680112
遵义,遵义市,1,3,6.0,52.74984931945801,24.066064834594727,7.207712720179967,2.420515919928512,5652.0,3233.0,0.4562300204659997,0.33582302928800345,0.5720099079971691
邢台,邢台市,3,77,222.0,3681.558416485786,2727.81434071064,73.26694721327839,55.4909108463448,41942.0,27390.0,0.7409401215788562,0.757379868507583,0.6530446807496066
邯郸,邯郸市,3,85,172.0,4343.749075889587,3955.4908537864685,169.60797707097004,148.11590694242605,49739.0,44967.0,0.9106167931618829,0.8732838484386207,0.9040591889664046
郑州,郑州市,9,1029,9301.0,75156.46489882469,43705.220812916756,2524.4805113331113,1635.0338381594393,570456.0,337074.0,0.5815231047888234,0.647671404401542,0.590885186587572
鄂尔多斯,鄂尔多斯市,2,28,36.0,1357.354879245162,1338.2619055360556,81.87240463514767,77.23712104844172,7068.0,6792.0,0.9859336905911266,0.943384054647443,0.9609507640067911
重庆,重庆,5,52,118.0,4805.063483119011,4044.123457789421,150.65884409341982,131.01265739035756,48092.0,34939.0,0.8416378830367385,0.869598185083113,0.7265033685436247
金华,金华市,4,66,126.0,3033.924607515335,2620.0951340198517,181.8817447129348,162.54019212548002,31916.0,25834.0,0.863599289029666,0.8936586372756558,0.8094372728412081
钦州,钦州市,2,19,29.0,677.4171013832093,548.2757458686829,43.03097637582725,37.33898344966038,17481.0,13970.0,0.8093621267446092,0.8677233610398774,0.7991533665122132
铜仁,铜仁市,1,3,6.0,387.43860626220703,299.03692626953125,2.1654285028556317,1.915123653398073,4305.0,2914.0,0.7718304821361862,0.8844086289953824,0.6768873403019744
铜陵,铜陵市,2,25,56.0,846.2706844806671,485.66711354255676,9.977898463670895,9.977898463670895,7527.0,4705.0,0.5738909812769861,1.0,0.6250830344094592
银川,银川市,2,42,83.0,2215.12369081378,1319.2555839717386,64.50772307436073,31.458104466144164,22541.0,7425.0,0.5955674572227061,0.48766415813314484,0.32939976043653785
镇江,镇江市,1,35,42.0,5223.027920246124,4720.966408252716,93.29175638383848,80.64614136503617,24419.0,21370.0,0.9038753918876716,0.8644508849552223,0.8751382120479955
