analysis_scale_m,historical_hotspot_definition,hotspot_top_share,event_impact_definition,event_count,median_uncovered_impact_share,iqr_uncovered_impact_share,q25_uncovered_impact_share,q75_uncovered_impact_share,median_report_weighted_uncovered_share,iqr_report_weighted_uncovered_share,q25_report_weighted_uncovered_share,q75_report_weighted_uncovered_share,median_population_exposure_outside_historical_hotspots,iqr_population_exposure_outside_historical_hotspots,q25_population_exposure_outside_historical_hotspots,q75_population_exposure_outside_historical_hotspots,median_road_exposure_outside_historical_hotspots,iqr_road_exposure_outside_historical_hotspots,q25_road_exposure_outside_historical_hotspots,q75_road_exposure_outside_historical_hotspots,median_function_exposure_outside_historical_hotspots,iqr_function_exposure_outside_historical_hotspots,q25_function_exposure_outside_historical_hotspots,q75_function_exposure_outside_historical_hotspots
1000,loo_positive_history_top_10pct,0.1,ge2,432,0.8181818181818182,0.33333333333333337,0.6666666666666666,1.0,0.7831797235023041,0.4,0.6,1.0,0.8309911651113713,0.3941015101956744,0.6058984898043256,1.0,0.8070822473997228,0.37811870325745756,0.6218812967425424,1.0,0.7816385422379846,0.44606386590278824,0.5539361340972118,1.0
1000,loo_positive_history_top_10pct,0.1,gt0,462,0.8655534515407127,0.19137931034482758,0.7586206896551724,0.95,0.823764705882353,0.2817205342026584,0.6761599005799503,0.9578804347826088,0.8454225823803005,0.2913842270697704,0.6982726919890321,0.9896569190588025,0.8503157578449961,0.268510282439687,0.7179963681755712,0.9865066506152582,0.8267748372204786,0.3007190064561793,0.6778594336733872,0.9785784401295665
1000,loo_positive_history_top_10pct,0.1,top50,462,0.8571428571428571,0.22752525252525257,0.7333333333333333,0.9608585858585859,0.8185603008326618,0.3239181758412527,0.6637080867850099,0.9876262626262626,0.8322708044191259,0.3481028668689873,0.6511713006784973,0.9992741675474845,0.8299342763132158,0.3164625224300679,0.6835374775699321,1.0,0.8197675805585118,0.353810411068728,0.6367182523208073,0.9905286633895353
1000,loo_positive_history_top_10pct,0.1,top75,462,0.8181818181818182,0.33333333333333337,0.6666666666666666,1.0,0.8075396825396826,0.39933774834437086,0.6006622516556291,1.0,0.8274115809539397,0.420125056373446,0.579874943626554,1.0,0.8030216708554412,0.4071794049305729,0.5928205950694271,1.0,0.7891971952429886,0.4785372978978939,0.5214627021021061,1.0
1000,loo_positive_history_top_20pct,0.2,ge2,432,0.6888504753673292,0.5,0.5,1.0,0.6666666666666666,0.56,0.44,1.0,0.6753280300388611,0.6167389440953611,0.3832610559046389,1.0,0.6518581512167196,0.5818522641947229,0.4181477358052771,1.0,0.6452719474723414,0.6344466824156747,0.3655533175843253,1.0
1000,loo_positive_history_top_20pct,0.2,gt0,462,0.7695919104369808,0.2584646784383351,0.6562769628990509,0.914741641337386,0.7253078333769977,0.3645549318364075,0.5345829991980753,0.8991379310344828,0.7371626712582708,0.37036820331977505,0.5485273219347746,0.9188955252545496,0.7346423774809645,0.3406531912979399,0.5644643819087788,0.9051175732067187,0.7136658267621503,0.41228448747097357,0.49108609658544944,0.903370584056423
1000,loo_positive_history_top_20pct,0.2,top50,462,0.7656862745098039,0.293435534591195,0.6232311320754716,0.9166666666666666,0.7198401162790697,0.39343186769657357,0.5156590413943355,0.9090909090909091,0.7210366802128418,0.4619189335563352,0.4876206300385386,0.9495395635948738,0.7319855103571313,0.38977767596323754,0.5333265083433699,0.9231041843066075,0.6990042382460939,0.48276267600258893,0.4562457212339195,0.9390083972365084
1000,loo_positive_history_top_20pct,0.2,top75,462,0.7,0.4402573529411764,0.5,0.9402573529411764,0.6707317073170731,0.5057325599872875,0.45714285714285713,0.9628754171301446,0.6856203740584604,0.5838731118416386,0.4125923876312634,0.996465499472902,0.6747020923000513,0.5503152283549392,0.42037273561549715,0.9706879639704363,0.6339457025039441,0.6279141762759002,0.3583662601902945,0.9862804364661947
1000,loo_positive_history_top_30pct,0.3,ge2,432,0.6,0.4309523809523809,0.42857142857142855,0.8595238095238095,0.5464285714285715,0.5260731052984573,0.3333333333333333,0.8594064386317907,0.5460201529514791,0.6996652477345835,0.2521355933428004,0.9518008410773838,0.5440961750868932,0.551818945746898,0.347047074366884,0.898866020113782,0.5212383037493351,0.6363155813614381,0.2591623996835351,0.8954779810449731
1000,loo_positive_history_top_30pct,0.3,gt0,462,0.709005376344086,0.29047619047619044,0.5666666666666667,0.8571428571428571,0.6363636363636364,0.4173889709927616,0.43870346598202825,0.8560924369747899,0.6472772174141134,0.4263851616943125,0.4445873023758685,0.870972464070181,0.6473111197916099,0.37854758158721385,0.47621826954542296,0.8547658511326368,0.6034128539904025,0.4413834536971425,0.3964662163514684,0.8378496700486109
1000,loo_positive_history_top_30pct,0.3,top50,462,0.6775210084033614,0.3709677419354839,0.5,0.8709677419354839,0.625,0.4404761904761904,0.4166666666666667,0.8571428571428571,0.6286721247283256,0.4900447931256863,0.391051662827548,0.8810964559532343,0.6344344721116275,0.43015951037645506,0.42460634075618175,0.8547658511326368,0.580965819739936,0.5151543282919377,0.3560759185754374,0.8712302468673752
1000,loo_positive_history_top_30pct,0.3,top75,462,0.625,0.4357142857142858,0.42857142857142855,0.8642857142857143,0.6,0.5093355242887952,0.34780733285406185,0.8571428571428571,0.5644504368035215,0.6273733483034031,0.27925710295357886,0.9066304512569819,0.561604745584037,0.5448091808458562,0.3235283908497882,0.8683375716956443,0.523160816421224,0.6258019743831028,0.26682339561946744,0.8926253700025703
2000,loo_positive_history_top_10pct,0.1,ge2,437,0.7777777777777778,0.3571428571428571,0.6428571428571429,1.0,0.7184873949579832,0.45945945945945943,0.5405405405405406,1.0,0.7368685284840728,0.5235788036294082,0.4764211963705917,1.0,0.7058688591773277,0.4762492680790006,0.5237507319209994,1.0,0.6778832326718436,0.5770455868753639,0.4229544131246361,1.0
2000,loo_positive_history_top_10pct,0.1,gt0,462,0.819538670284939,0.18181818181818177,0.7272727272727273,0.9090909090909091,0.7596296296296297,0.3090307833504632,0.6035296031229668,0.91256038647343,0.7474425629635298,0.36326977859281295,0.5562080048459477,0.9194777834387606,0.7528442159416484,0.2788652142814352,0.6173366479005769,0.896201862182012,0.7025590187412496,0.38177118215046146,0.521336975283786,0.9031081574342474
2000,loo_positive_history_top_10pct,0.1,top50,462,0.8,0.24909420289855067,0.6666666666666666,0.9157608695652173,0.75,0.3450040128410915,0.5835674157303371,0.9285714285714286,0.7302434740957815,0.4120130818921298,0.5293255652258066,0.9413386471179365,0.7384409827519441,0.3455841653368439,0.5712979457533015,0.9168821110901454,0.6782875109961497,0.4381314572113858,0.48542111790725084,0.9235525751186366
2000,loo_positive_history_top_10pct,0.1,top75,462,0.75,0.4444444444444444,0.5555555555555556,1.0,0.71875,0.5,0.5,1.0,0.700201066752795,0.609148591973611,0.3908514080263889,1.0,0.6902213544257837,0.557055158159858,0.44294484184014205,1.0,0.6366694327980428,0.6261314587856037,0.3738685412143963,1.0
