city_clean,city_std,Event_ID,is_extreme,Event_Peak_Rain,total_affected_grids,total_reports,historical_hotspot_grids,covered_affected_grids,uncovered_affected_grids,impact_coverage_rate,uncovered_impact_share,report_weighted_coverage_rate,report_weighted_uncovered_share,population_exposure_outside_historical_hotspots,road_exposure_outside_historical_hotspots,function_exposure_outside_historical_hotspots,historical_hotspot_definition,event_impact_definition,analysis_scale_m
三亚市,三亚,268,1,90.66284942626952,7,11.0,12,1,6,0.14285714285714285,0.8571428571428571,0.18181818181818182,0.8181818181818182,0.6966755689160441,0.7263781855232309,0.7001006795872137,loo_positive_history_top_20pct,gt0,1000
三亚市,三亚,1283,1,61.851539611816406,12,19.0,13,4,8,0.3333333333333333,0.6666666666666666,0.5263157894736842,0.47368421052631576,0.4125914707769663,0.46234895901764894,0.6393633540372671,loo_positive_history_top_20pct,gt0,1000
三亚市,三亚,2108,1,74.82465362548828,7,14.0,12,3,4,0.42857142857142855,0.5714285714285714,0.6428571428571429,0.35714285714285715,0.07142608569583878,0.306469515996873,0.5098321342925659,loo_positive_history_top_20pct,gt0,1000
三明市,三明,3682,1,51.83521270751954,7,11.0,3,2,5,0.2857142857142857,0.7142857142857143,0.45454545454545453,0.5454545454545454,0.5355334613283548,0.4222877669946407,0.5827940616673011,loo_positive_history_top_20pct,gt0,1000
上海,上海,689,1,58.90389251708984,7,32.0,60,1,6,0.14285714285714285,0.8571428571428571,0.03125,0.96875,0.8585320239570011,0.9876282235337757,0.7808695652173913,loo_positive_history_top_20pct,gt0,1000
上海,上海,1266,1,69.8499984741211,17,31.0,59,1,16,0.058823529411764705,0.9411764705882353,0.03225806451612903,0.967741935483871,0.9894724269580655,0.9459527287441338,0.9838566428086307,loo_positive_history_top_20pct,gt0,1000
上海,上海,4601,1,78.74647521972656,11,18.0,60,1,10,0.09090909090909091,0.9090909090909091,0.4444444444444444,0.5555555555555556,0.7576043444072439,0.8683375716956443,0.6187263739459146,loo_positive_history_top_20pct,gt0,1000
上海,上海,4711,1,68.21519470214844,27,45.0,58,1,26,0.037037037037037035,0.9629629629629629,0.022222222222222223,0.9777777777777777,0.9868920298888684,0.9721233602978272,0.9919516578542964,loo_positive_history_top_20pct,gt0,1000
上饶市,上饶,2357,1,76.06207275390625,16,29.0,7,1,15,0.0625,0.9375,0.10344827586206896,0.896551724137931,0.9186370105373083,0.913616126711327,0.9134680460214638,loo_positive_history_top_20pct,gt0,1000
上饶市,上饶,5398,1,75.98422241210938,14,25.0,7,1,13,0.07142857142857142,0.9285714285714286,0.04,0.96,0.8453225962955098,0.894867534713406,0.8977727013135351,loo_positive_history_top_20pct,gt0,1000
东莞市,东莞,717,1,72.65945434570312,2,2.0,33,0,2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
东莞市,东莞,3510,1,57.53826904296874,13,19.0,33,4,9,0.3076923076923077,0.6923076923076923,0.47368421052631576,0.5263157894736842,0.5670941992204808,0.7239104144247216,0.7405628002745367,loo_positive_history_top_20pct,gt0,1000
东莞市,东莞,4517,1,64.35569763183594,29,54.0,32,7,22,0.2413793103448276,0.7586206896551724,0.3888888888888889,0.6111111111111112,0.7523650854302019,0.7856511443311076,0.7648121955052648,loo_positive_history_top_20pct,gt0,1000
东莞市,东莞,5297,1,56.735939025878906,13,23.0,33,8,5,0.6153846153846154,0.38461538461538464,0.7391304347826086,0.2608695652173913,0.2919564785954385,0.35178609929007937,0.11107302022625985,loo_positive_history_top_20pct,gt0,1000
中山市,中山,353,1,53.88318634033203,10,12.0,21,3,7,0.3,0.7,0.25,0.75,0.7594961140680425,0.6432263372417374,0.7690075449796866,loo_positive_history_top_20pct,gt0,1000
中山市,中山,1788,1,55.95330810546874,4,7.0,21,0,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
中山市,中山,5927,1,66.0999984741211,7,8.0,20,0,7,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
